#====================================================================#
# Cross sections computed using SIGMA
#=====================================================================================#
# lambda[micron]   Kabs[cm^2/g]   Ksca[cm^2/g]  Kext[cm^2/g]    albedo    asymmetry_parameter  linear_pol
#=====================================================================================#
   8.0468536025633211E-002   17834.272116688298        11261.221538895834        29095.493655584149       0.38704349450811004       0.81394521726245217       0.46818090364533937     
   8.1270220029397447E-002   17771.900275980606        11203.277307427874        28975.177583408469       0.38665085917689090       0.81387945218142110       0.46818170565846462     
   8.2079890971580541E-002   17709.551928911929        11145.605195918530        28855.157124830454       0.38626042297054441       0.81381490149905766       0.46819343726427470     
   8.2897628423665770E-002   17647.240654064382        11088.201455024840        28735.442109089247       0.38587196302497656       0.81375091610591099       0.46821729897682374     
   8.3723512749883336E-002   17584.966380537171        11031.062229105051        28616.028609642239       0.38548543473947006       0.81368811952574460       0.46825113780764865     
   8.4557625115108323E-002   17522.728074298288        10974.184571526770        28496.912645825072       0.38510082505848359       0.81362626448821762       0.46828984819782937     
   8.5400047492837208E-002   17460.519176472222        10917.567148337041        28378.086324809261       0.38471823023501289       0.81356436352253980       0.46832535797502245     
   8.6250862673243930E-002   17398.332060485274        10861.210416420461        28259.542476905732       0.38433780112669769       0.81350290992546115       0.46835071334253703     
   8.7110154271316256E-002   17336.161121802626        10805.116226619251        28141.277348421867       0.38395969354337750       0.81344224651121333       0.46836267610543536     
   8.7978006735073069E-002   17274.009994579443        10749.286976928443        28023.296971507923       0.38358395116240412       0.81338162841599893       0.46836152713976842     
   8.8854505353863689E-002   17211.882692878633        10693.724584696722        27905.607277575378       0.38321060274112273       0.81332149230133410       0.46835164290000841     
   8.9739736266749762E-002   17149.785768374055        10638.429612888782        27788.215381262831       0.38283961265328725       0.81326256118650919       0.46834072293100742     
   9.0633786470970673E-002   17087.741886464974        10583.400838335663        27671.142724800626       0.38247068231302755       0.81320429786604387       0.46833582190613643     
   9.1536743830493345E-002   17025.754984997104        10528.635400438428        27554.390385435538       0.38210373204277326       0.81314659509864007       0.46834166131625549     
   9.2448697084647188E-002   16963.837179090904        10474.129472937291        27437.966652028208       0.38173854519802930       0.81308998019983980       0.46836007318586959     
   9.3369735856845035E-002   16901.987349048552        10419.879230794560        27321.866579843092       0.38137508652069557       0.81303392872655100       0.46838875055498802     
   9.4299950663391058E-002   16840.203724592247        10365.881796268637        27206.085520860903       0.38101335042560075       0.81297785468895989       0.46842118439142671     
   9.5239432922376313E-002   16778.469502026943        10312.135865521241        27090.605367548189       0.38065357808039751       0.81292215478857566       0.46844990064406200     
   9.6188274962663023E-002   16716.796187729011        10258.641826054978        26975.438013784002       0.38029565343157662       0.81286671343737404       0.46846882753642194     
   9.7146570032958318E-002   16655.171556988411        10205.401333554708        26860.572890543102       0.37993982388766401       0.81281100140311446       0.46847398078989233     
